# playback: video1_720p60.playback.raw capture: video1_720p60.capture.raw
# Timestamp: 2017-01-21 18:51:22.234760
# frame_index,sent_cpu_timestamp,received_cpu_timestamp,delay_cpu_time,sent_decklink_timestamp,received_decklink_time,delay_decklink_time,ssim_total,ssim_Y,ssim_Cb,ssim_Cr
1727,1485049941355458,1485049941741412,385954,80420184887,80420570205,385318,0.940492,0.875546,0.97591,0.9700
1735,1485049941488853,1485049941891519,402666,80420318340,80420720342,402002,0.94078,0.876502,0.975885,0.969952
1743,1485049941622342,1485049942024960,402618,80420451823,80420853788,401965,0.94191,0.877667,0.976874,0.971191
1751,1485049941755796,1485049942158354,402558,80420585276,80420987220,401944,0.940927,0.875953,0.976273,0.970553
1759,1485049941889229,1485049942291842,402613,80420718723,80421120672,401949,0.941331,0.8767,0.976592,0.970701
1767,1485049942022694,1485049942425375,402681,80420852174,80421254155,401981,0.940501,0.875244,0.975934,0.970325
1775,1485049942156145,1485049942558788,402643,80420985629,80421387602,401973,0.941272,0.876331,0.976583,0.970902
1783,1485049942289569,1485049942692173,402604,80421119052,80421521029,401977,0.94112,0.876235,0.976397,0.970729
1791,1485049942423058,1485049942825672,402614,80421252532,80421654508,401976,0.941256,0.876655,0.976373,0.970741
1799,1485049942556489,1485049942959111,402622,80421385983,80421787935,401952,0.941021,0.876412,0.976064,0.970587
1807,1485049942689933,1485049943092526,402593,80421519411,80421921388,401977,0.942096,0.877859,0.977019,0.971409
1815,1485049942823395,1485049943226032,402637,80421652889,80422054841,401952,0.941128,0.876936,0.976026,0.970422
1823,1485049942956858,1485049943359475,402617,80421786317,80422188291,401974,0.941829,0.877888,0.976528,0.971071
1831,1485049943090310,1485049943492902,402592,80421919769,80422321745,401976,0.940879,0.875275,0.976975,0.970387
1839,1485049943223902,1485049943626338,402436,80422053222,80422455196,401974,0.940688,0.875103,0.976348,0.970611
1847,1485049943357213,1485049943759754,402541,80422186672,80422588648,401976,0.941385,0.876358,0.976735,0.971061
1855,1485049943490647,1485049943893191,402544,80422320125,80422722100,401975,0.940681,0.87572,0.976041,0.970282
1863,1485049943624066,1485049944026676,402610,80422453576,80422855552,401976,0.941662,0.87657,0.976937,0.971481
1871,1485049943757519,1485049944160159,402640,80422587029,80422989005,401976,0.940721,0.874717,0.976416,0.971029
1879,1485049943890952,1485049944293565,402613,80422720480,80423122458,401978,0.941199,0.876234,0.976572,0.970791
1887,1485049944024437,1485049944427059,402622,80422853932,80423255911,401979,0.941151,0.876395,0.976307,0.970751
1895,1485049944157907,1485049944560486,402579,80422987386,80423389362,401976,0.941827,0.876731,0.977465,0.971285
1903,1485049944291359,1485049944693945,402586,80423120838,80423522814,401976,0.941297,0.876225,0.97666,0.971005
1911,1485049944424794,1485049944827436,402642,80423254291,80423656267,401976,0.940672,0.874749,0.976421,0.970845
1919,1485049944558249,1485049944960816,402567,80423387742,80423789719,401977,0.940942,0.875789,0.976226,0.9708
1927,1485049944691715,1485049945094397,402682,80423521194,80423923171,401977,0.94176,0.87696,0.97708,0.9712
1935,1485049944825201,1485049945227814,402613,80423654648,80424056624,401976,0.940945,0.875097,0.976585,0.971154
1943,1485049944958573,1485049945361266,402693,80423788099,80424190076,401977,0.940266,0.873493,0.976595,0.970709
1951,1485049945092060,1485049945494651,402591,80423921551,80424323530,401979,0.940581,0.873689,0.977116,0.970936
1959,1485049945225576,1485049945644779,419203,80424055004,80424473664,418660,0.941359,0.876879,0.976395,0.970804
1967,1485049945358948,1485049945778242,419294,80424188457,80424607116,418659,0.941685,0.876894,0.976662,0.971
1975,1485049945492403,1485049945895010,402607,80424321909,80424723886,401977,0.940654,0.875238,0.97628,0.970444
1983,1485049945625854,1485049946045119,419265,80424455362,80424874019,418657,0.941449,0.876079,0.977149,0.971118
1991,1485049945759341,1485049946178581,419240,80424588814,80425007472,418658,0.941862,0.878386,0.976599,0.970601
